dispnum,styear,endyear,fatality,fatalpre,hostlev,recip,numa,numb,ongo2014,meandur,acountries,bcountries
3418,1955,1955,0,0,4,1,1,1,0,3.0,[666],[652]
3419,1958,1963,2,-9,4,1,2,1,0,1764.0,[652 651],[666]
3420,1958,1958,0,0,4,0,1,1,0,5.0,[666],[651]
3421,1959,1959,0,0,4,0,1,1,0,89.0,[666],[651]
3422,1960,1960,0,0,4,0,1,1,0,8.0,[651],[666]
3427,1950,1952,2,-9,4,1,1,1,0,644.0,[652],[666]
3428,1953,1953,0,0,4,1,1,1,0,249.0,[652],[666]
3430,1959,1960,0,0,4,1,1,1,0,321.0,[651],[666]
3434,1961,1966,2,-9,4,1,1,1,0,1888.0,[652],[666]
3437,1973,1974,-9,-9,4,1,1,1,0,206.0,[652],[666]
3438,1974,1975,0,0,4,1,1,1,0,500.0,[652],[666]
3439,1975,1977,0,0,4,1,1,1,0,668.0,[666],[652]
3440,1978,1978,0,0,4,1,1,1,0,11.0,[666],[652]
3441,1979,1980,1,-9,4,1,1,1,0,234.0,[652],[666]
3443,1985,1986,-9,-9,4,1,1,1,0,421.0,[652],[666]
3444,1982,1985,6,-9,5,1,1,2,0,1152.0,[666],[652 660]
3445,1949,1949,0,0,3,1,1,1,0,8.0,[666],[652]
3446,1967,1967,0,0,4,1,1,1,0,166.0,[652],[666]
3447,1968,1971,-9,-9,4,1,1,1,0,1140.0,[652],[666]
3448,1980,1981,1,-9,4,1,2,1,0,336.0,[660 652],[666]
3503,1942,1943,0,0,4,0,1,2,0,185.0,[140],[255 325]
3506,1945,1945,0,0,4,0,1,1,0,70.0,[140],[740]
3507,1945,1945,0,0,4,0,1,2,0,182.0,[135],[740 255]
3508,1945,1945,0,0,4,0,1,2,0,181.0,[165],[740 255]
3509,1945,1945,0,0,4,0,1,2,0,141.0,[160],[255 740]
3510,1945,1945,0,0,4,0,1,1,0,126.0,[155],[740]
3511,1945,1945,0,0,4,0,1,2,0,172.0,[651],[740 255]
3512,1945,1945,0,0,4,0,1,1,0,167.0,[630],[740]
3513,1941,1942,0,0,4,1,1,6,0,199.0,[41],[740 310 255 355 360 325]
3514,1941,1942,0,0,4,1,1,6,0,194.0,[93],[310 325 740 355 360 255]
3515,1943,1944,0,0,4,0,1,1,0,183.0,[630],[255]
3516,1943,1944,0,0,4,0,1,3,0,184.0,[145],[255 325 740]
3517,1943,1944,0,0,4,0,1,1,0,183.0,[100],[255]
3518,1941,1942,0,0,4,0,1,3,0,186.0,[94],[325 740 255]
3519,1941,1942,0,0,4,0,1,3,0,185.0,[40],[740 325 255]
3520,1941,1942,0,0,4,0,1,3,0,186.0,[42],[325 255 740]
3521,1941,1942,0,0,4,0,1,3,0,187.0,[92],[740 325 255]
3522,1941,1942,0,0,4,0,1,3,0,185.0,[90],[255 325 740]
3523,1941,1942,0,0,4,0,1,3,0,188.0,[91],[255 325 740]
3524,1942,1942,0,0,4,0,3,1,0,185.0,[255 325 740],[70]
3525,1941,1942,0,0,4,0,1,3,0,188.0,[95],[325 740 255]
3526,1944,1944,0,0,4,0,1,2,0,183.0,[450],[255 740]
3527,1942,1943,0,0,4,0,1,3,0,183.0,[530],[255 325 740]
3540,1983,1986,2,-9,4,1,1,1,0,898.0,[812],[800]
3541,1984,1984,0,0,3,1,1,1,0,72.0,[2],[630]
3550,1992,1992,0,0,4,0,1,1,0,1.0,[135],[2]
3551,1992,1996,0,0,4,1,14,1,0,1540.0,[211 360 230 200 235 390 255 640 325 210  20   2 350 220],[345]
